medidaID,deploymentID,captureMethod,timestamp,filePath,filePublic,samplingFrequency,bitDepth,channels,duration
f0ae8daa6d437098a618,TOV-E: Kristiansand 90102,dutyCycle,2022-09-18T08:39:56.034Z,https://bugg-301712.web.app/download/9d44a095-2593-4730-9f7f-c767e11d4407/audio/proj_sound-of-norway/bugg_RPiID-1000000024211c39/conf_6f40914/2022-09-18T08_36_23.034Z.mp3,FALSE,44100,16,1,300
bde193f2eaa9bb0af46c,TOV-E: Bergen 120718,dutyCycle,2022-10-18T13:21:02.704Z,https://bugg-301712.web.app/download/d0ff4692-bc73-421f-a5c7-65e027353c21/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-18T13_19_32.704Z.mp3,FALSE,44100,16,1,300
b9b19d7d33ede25dfd42,TOV-E: Bergen 120718,dutyCycle,2022-09-15T13:06:37.473Z,https://bugg-301712.web.app/download/a6da65a0-436d-4f7a-bdd4-d25faa002f18/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-09-15T13_03_10.473Z.mp3,FALSE,44100,16,1,300
9d5e742f61f30560c93a,TOV-E: Kristiansand 90115,dutyCycle,2022-09-21T17:10:53.876Z,https://bugg-301712.web.app/download/0f9eac8c-45cf-4690-ad3b-2eda80bae51b/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T17_07_35.876Z.mp3,FALSE,44100,16,1,300
30c67e6ee7c876289f5c,TOV-E: Kristiansand 90115,dutyCycle,2022-09-24T14:35:04.405Z,https://bugg-301712.web.app/download/46c5849c-d13b-4272-bcd2-7f0ad9c1cd37/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-24T14_32_25.405Z.mp3,FALSE,44100,16,1,300
9b45ec0306fa3ecd9d0f,TOV-E: Østfold 10618,dutyCycle,2022-09-21T08:58:25.129Z,https://bugg-301712.web.app/download/731bd628-f078-463b-bd2a-cb8aaf22c505/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-09-21T08_57_04.129Z.mp3,FALSE,44100,16,1,300
51c60b03ab97dc01baf0,TOV-E: Bergen 120718,dutyCycle,2022-09-15T14:07:36.274Z,https://bugg-301712.web.app/download/231aacfd-67c7-46ad-aa69-8f92492cc89e/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-09-15T14_03_39.274Z.mp3,FALSE,44100,16,1,300
18d6b3658fd9b0c25887,TOV-E: Lillehammer 51412,dutyCycle,2022-09-23T10:28:11.714Z,https://bugg-301712.web.app/download/744f33d4-bd85-464c-a890-c5e27059eb82/audio/proj_sound-of-norway/bugg_RPiID-10000000171abe55/conf_6f40914/2022-09-23T10_24_47.714Z.mp3,FALSE,44100,16,1,300
2e6db3937209d895a74c,TOV-E: Østfold 10618,dutyCycle,2022-09-23T09:27:39.104Z,https://bugg-301712.web.app/download/8fa8c8dc-95d8-4f05-95b8-bb8d4bf6565c/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-09-23T09_23_27.104Z.mp3,FALSE,44100,16,1,300
5ecfa7737649c0106dc8,TOV-E: Østfold 10618,dutyCycle,2022-09-24T08:50:53.257Z,https://bugg-301712.web.app/download/8d88ce6e-25e8-4b6f-88b1-8449d0a93d6b/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-09-24T08_46_11.257Z.mp3,FALSE,44100,16,1,300
