deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,deviceID,deviceModel,devicePlatform,deviceDelay,deviceHeight,deviceDepth,deviceTilt,deviceHeading,dutyCycle,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
TOV-E: Lillehammer 51318_2022-09-06 09:17:54.082,,TOV-E: Lillehammer 51318,61.2774482,10.0400937,,2022-09-06T09:17:54Z,2022-09-25T11:46:10Z,,bugg_RPiID-10000000d2b4d01e,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Lillehammer 51412_2022-09-05 12:51:46.903,,TOV-E: Lillehammer 51412,61.3023342,10.385123,,2022-09-05T12:51:46Z,2022-10-18T15:32:39Z,,bugg_RPiID-10000000171abe55,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Stavanger 110203*_2022-09-06 16:54:22.986,,TOV-E: Stavanger 110203*,58.4791387,6.0891053,,2022-09-06T16:54:22Z,2022-10-03T16:01:54Z,,bugg_RPiID-10000000a1d0792e,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Stavanger 110204_2022-09-15 15:56:58.415,,TOV-E: Stavanger 110204,58.4811381,6.090253,,2022-09-15T15:56:58Z,2022-10-24T19:38:47Z,,bugg_RPiID-1000000027dd31af,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Tromsø 191404_2022-10-01 11:22:22.916,,TOV-E: Tromsø 191404,69.09033027,19.62420681,,2022-10-01T11:22:22Z,2022-10-01T11:22:22Z,,bugg_RPiID-10000000c27ff1cf,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Tromsø 191405_2022-09-05 16:01:13.022,,TOV-E: Tromsø 191405,69.09057056,19.63182586,,2022-09-05T16:01:13Z,2022-09-22T07:38:26Z,,bugg_RPiID-10000000d97b941d,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Trondheim 161106_2022-09-05 09:43:13.084,,TOV-E: Trondheim 161106,62.9246315,10.4573958,,2022-09-05T09:43:13Z,2022-10-19T15:10:21Z,,bugg_RPiID-1000000059520016,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Trondheim 161107_2022-09-05 07:31:26.884,,TOV-E: Trondheim 161107,62.9254662,10.4608148,,2022-09-05T07:31:26Z,2022-10-17T01:47:34Z,,bugg_RPiID-10000000abc617df,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Østfold 10402_2022-09-11 18:58:42.739,,TOV-E: Østfold 10402,59.38695106,11.57287335,,2022-09-11T18:58:42Z,2022-09-22T11:49:02Z,,bugg_RPiID-100000009b099eff,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
TOV-E: Østfold 10618_2022-09-05 03:57:58.233,,TOV-E: Østfold 10618,59.6976029,11.2049245,,2022-09-05T03:57:58Z,2022-10-21T14:52:51Z,,bugg_RPiID-100000006b720339,Bugg v2022,pole,,1.5,,,,continuous,,,,,,,,
