deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,deviceID,deviceModel,devicePlatform,deviceDelay,deviceHeight,deviceDepth,deviceTilt,deviceHeading,dutyCycle,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
2018_UnivMD_Maryland_86896_Dep01_20180711,M1,,38.37031,-74.75384,,2018-07-12T17:03:00+00:00,2018-08-21T12:42:00+00:00,,168,V2.5 Popup,mooring,,,27,,,continuous,,,,,,UMD,,
2018_UnivMD_Maryland_86896_Dep01_20180711,M2,,38.35305,-74.7309,,2018-07-12T17:14:00+00:00,2018-08-21T13:16:00+00:00,,89,V2.5 Popup,mooring,,,27,,,continuous,,,,,,UMD,,CTD# S7958
2018_UnivMD_Maryland_86896_Dep01_20180711,M3,,38.33452,-74.75369,,2018-07-12T16:42:00+00:00,2018-08-21T11:33:00+00:00,,188,V2.5 Popup,mooring,,,25,,,continuous,,,,,,UMD,,"CTD# S8044     SURFACED EARLY, RECOVERED ON RETRIEVAL DAY"
2018_UnivMD_Maryland_86896_Dep01_20180711,M4,,38.35279,-74.77635,,2018-07-12T16:53:00+00:00,2018-08-21T13:47:00+00:00,,142,V2.5 Popup,mooring,,,28,,,continuous,,,,,,UMD,,CTD# S7959
