id,analysis,scientificName,englishName,start_secs,end_secs,confidence,detected_time,detected_time_end,audio_id,project,recorder,site,latitude,longitude,audio_link,timestamp
d393f953c48316e72ceceefe94,birdnet-lite,Regulus regulus,Goldcrest,135,138,0.4630554,2022-09-21T14:23:30.977Z,2022-09-21T14:25:48Z,d393f953c48316e72cec,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/dc82553d-53c1-4902-88ce-bac569e336bc/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_21_15.977Z.mp3,2022-09-21T14:21:15.977Z
d393f953c48316e72cec15930b,birdnet-lite,Poecile montanus,Willow Tit,141,153,0.94585466,2022-09-21T14:23:36.977Z,2022-09-21T14:26:09Z,d393f953c48316e72cec,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/dc82553d-53c1-4902-88ce-bac569e336bc/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_21_15.977Z.mp3,2022-09-21T14:21:15.977Z
d393f953c48316e72cec1c78dd,birdnet-lite,Regulus regulus,Goldcrest,153,294,0.8427162,2022-09-21T14:23:48.977Z,2022-09-21T14:28:42Z,d393f953c48316e72cec,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/dc82553d-53c1-4902-88ce-bac569e336bc/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_21_15.977Z.mp3,2022-09-21T14:21:15.977Z
d87045d457a7b28f033f7ac9cb,birdnet-lite,Regulus regulus,Goldcrest,3,24,0.47214332,2022-09-21T14:16:16.441Z,2022-09-21T14:16:40Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033f0c8af0,birdnet-lite,Poecile montanus,Willow Tit,30,57,0.5647748,2022-09-21T14:16:43.441Z,2022-09-21T14:17:40Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033fbebefa,birdnet-lite,Regulus regulus,Goldcrest,63,177,0.72817725,2022-09-21T14:17:16.441Z,2022-09-21T14:20:13Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033f8950bd,birdnet-lite,Poecile montanus,Willow Tit,195,213,0.77937853,2022-09-21T14:19:28.441Z,2022-09-21T14:23:01Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033fa485a8,birdnet-lite,Regulus regulus,Goldcrest,213,231,0.4687974,2022-09-21T14:19:46.441Z,2022-09-21T14:23:37Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033f02d834,birdnet-lite,Poecile montanus,Willow Tit,231,234,0.62761766,2022-09-21T14:20:04.441Z,2022-09-21T14:23:58Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033f4f8f3e,birdnet-lite,Regulus regulus,Goldcrest,231,234,0.5391624,2022-09-21T14:20:04.441Z,2022-09-21T14:23:58Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
d87045d457a7b28f033f7db214,birdnet-lite,Poecile montanus,Willow Tit,240,249,0.8174606,2022-09-21T14:20:13.441Z,2022-09-21T14:24:22Z,d87045d457a7b28f033f,proj_sound-of-norway,bugg_RPiID-1000000018bff2d2,TOV-E: Kristiansand 90115,58.4319563,7.9858968,https://bugg-301712.web.app/download/b34c8062-db82-4e4f-94ed-803f38bc1fd3/audio/proj_sound-of-norway/bugg_RPiID-1000000018bff2d2/conf_6f40914/2022-09-21T14_16_13.441Z.mp3,2022-09-21T14:16:13.441Z
