mediaID,deploymentID,captureMethod,timestamp,duration,filePath,filePublic,fileName,fileMediatype,exifData,bitDepth,samplingFrequency,gain,channels,favorite,mediaComments
86896MD01_016K_M04_multi_20180712_113000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T11:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_113000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_114500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T11:45:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_114500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_120000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T12:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_120000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_121500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T12:15:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_121500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_124500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T12:45:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_124500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_130000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T13:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_130000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_131500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T13:15:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_131500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_133000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T13:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_133000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_140000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T14:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_140000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_141500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T14:15:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_141500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_143000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T14:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_143000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_144500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T14:45:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_144500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_150000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T15:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_150000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_153000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T15:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_153000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
